merchant_city,merchant_state,jumlah_transaksi,total_volume
Monroe,NY,2787,162419.61
Brownsville,TX,2787,85626.26
Hamilton,OH,2784,56724.06
Milwaukee,WI,2772,115291.25
Charleston,SC,2760,105524.90
Shreveport,LA,2750,184906.65
"Chicago Heights",IL,2735,104460.85
Canton,MI,2707,110371.16
Roseville,CA,2705,94277.28
Hendersonville,NC,2702,97468.92
Rockford,IL,2673,115031.36
Beaverton,OR,2661,63328.27
Revere,MA,2617,116751.36
Vancouver,WA,2583,83020.68
"Clinton Township",MI,2579,88706.82
Wauconda,IL,2553,81704.58
Scottsdale,AZ,2548,105078.43
Clinton,TN,2545,69863.14
Nashville,TN,2532,72567.14
"Panama City",FL,2525,78274.83
Burke,VA,2508,127297.99
"New Braunfels",TX,2496,92684.76
Bessemer,AL,2481,83558.81
Duluth,MN,2458,86370.34
Washington,DC,2451,112217.45
"Ann Arbor",MI,2450,66346.82
"Lake Havasu City",AZ,2450,71109.14
"Grand Forks",ND,2447,96187.67
Abbeville,LA,2440,41665.50
Hawarden,IA,2432,40725.62
Carrollton,TX,2387,130368.69
"Mira Loma",CA,2383,77349.51
Chattanooga,TN,2380,82470.87
"Virginia Beach",VA,2378,147115.08
"Little Rock",AR,2375,50628.11
Mcalester,OK,2372,30015.57
"Orchard Park",NY,2372,102670.04
Franklin,TN,2347,92943.37
"Green Bay",WI,2316,68817.41
Gaithersburg,MD,2315,95695.23
Granville,IA,2307,38913.34
"Rancho Cucamonga",CA,2300,83297.20
Albany,NY,2296,122060.48
Barnhart,MO,2294,56673.55
"Johnson City",TN,2280,114251.31
Inglewood,CA,2272,79648.55
Pensacola,FL,2257,75528.14
Henrico,VA,2242,102364.07
"Mount Vernon",NY,2242,131709.39
Concord,NC,2241,82708.41
Bakersfield,CA,2231,94576.76
Mission,TX,2231,82720.72
Kissimmee,FL,2228,122896.80
Glendale,CA,2206,37378.59
Carthage,NY,2191,42565.62
Hickory,NC,2181,88375.22
"San Rafael",CA,2169,94091.70
Jackson,MS,2167,57752.12
Boston,MA,2155,135018.31
"Williston Park",NY,2152,98963.62
Alvin,TX,2134,65649.27
Monroe,MI,2130,51995.03
Lexington,KY,2125,97148.36
"Round Rock",TX,2119,84964.38
Holly,MI,2118,79340.61
Norwalk,CT,2114,98346.12
Clovis,NM,2106,78088.55
Louisville,OH,2102,39791.14
Ukiah,CA,2099,51995.23
"Palm Coast",FL,2098,97226.14
Waco,TX,2092,54827.32
"College Park",MD,2083,92998.52
Stuart,FL,2079,76491.14
"Cherry Hill",NJ,2076,146893.97
Lakeside,CA,2071,69480.27
Oswego,NY,2064,70265.28
Kingman,AZ,2061,51848.11
"Sherman Oaks",CA,2056,127353.59
Thomson,GA,2054,63310.40
Mentor,OH,2038,54987.08
Allen,TX,2038,76358.35
"Warner Robins",GA,2028,69759.55
"Lake Charles",LA,2024,126145.87
Vincentown,NJ,2022,83176.39
Alburtis,PA,2019,54244.13
"Cape Coral",FL,2009,69867.80
Longwood,FL,1993,53151.87
"Huntington Station",NY,1976,113299.51
Martinsburg,WV,1972,65040.75
Canton,MA,1972,101379.37
Anaheim,CA,1971,60277.86
Sandusky,OH,1968,22879.23
"San Leandro",CA,1949,94724.37
Winder,GA,1946,68305.57
Elizabeth,NJ,1922,62297.60
Rockwall,TX,1918,127202.81
Mendham,NJ,1915,100173.71
Lebanon,MO,1910,15610.44
Bloomington,CA,1881,28404.61
"Rego Park",NY,1880,81479.15
Yonkers,NY,1877,90465.66
Seguin,TX,1867,57817.21
Fairfield,OH,1865,50144.82
Skokie,IL,1863,39996.20
"Rockville Centre",NY,1861,95365.16
Schaumburg,IL,1861,91273.81
Oshkosh,WI,1861,63996.40
Weatherford,TX,1852,38401.26
Whittier,CA,1851,99702.62
"San Mateo",CA,1848,153011.48
"Los Altos",CA,1847,92230.92
Seabrook,TX,1842,81540.78
"Port Orange",FL,1836,41945.46
"The Colony",TX,1834,60928.74
Cordova,TN,1827,86071.98
Derby,KS,1827,43779.97
Worcester,MA,1826,81804.77
Arnold,MO,1825,41110.34
Ogden,UT,1824,93481.79
Millington,TN,1822,62148.01
Newtown,PA,1819,177600.53
Barron,WI,1804,94251.43
"Sterling Heights",MI,1804,71307.46
Dalton,GA,1803,43105.04
Lancaster,PA,1802,58270.03
Waldorf,MD,1802,58530.46
Shelton,CT,1785,73197.04
"Kansas City",MO,1784,50825.99
Osprey,FL,1779,122244.54
Dyer,IN,1779,26865.06
Mechanicsburg,PA,1776,109169.05
Newburgh,NY,1765,106039.43
Ashland,KY,1765,38896.39
Cancun,Mexico,1764,59291.68
Arlington,VA,1763,130698.99
Chambersburg,PA,1760,55542.12
Newark,NJ,1760,61445.85
Hendersonville,TN,1758,93478.85
Lafayette,CO,1756,185556.66
"Monroe Township",NJ,1746,132778.25
"Cedar Park",TX,1746,62679.53
"Saint Charles",IL,1746,81347.29
Warsaw,IN,1734,135891.20
Asheville,NC,1721,23395.93
Bethlehem,PA,1716,66373.08
Windsor,CO,1713,113623.61
"Vero Beach",FL,1711,50048.94
Lakeville,MN,1711,61036.41
Campbell,TX,1710,29444.30
Appleton,WI,1709,87666.56
"Van Buren",AR,1700,43660.65
"Whitehouse Station",NJ,1694,56639.13
Olathe,KS,1686,87825.90
Hurst,TX,1684,55135.14
Rialto,CA,1681,55053.92
Erie,PA,1673,134587.80
Portland,OR,1671,113508.66
Gregory,TX,1668,107714.96
Madison,WI,1665,52877.78
"Fort Walton Beach",FL,1660,59737.90
Compton,CA,1653,39548.95
Andover,KS,1651,32307.09
Kirkland,WA,1651,75046.95
"Upper Marlboro",MD,1649,82021.42
"West Covina",CA,1648,37633.11
Canton,NC,1648,41964.02
"Lake Forest",CA,1647,51931.02
Pearland,TX,1647,58466.01
"Daytona Beach",FL,1646,57651.11
Danville,IL,1644,47763.18
"East Hartford",CT,1644,32307.91
Poughkeepsie,NY,1640,67100.79
Oviedo,FL,1633,90436.39
Parrish,AL,1619,41099.68
"Union City",NJ,1614,68182.39
"O Fallon",MO,1606,72812.72
Rockingham,NC,1605,54572.53
Lewistown,PA,1602,36166.78
Providence,RI,1598,63775.67
"Terre Haute",IN,1598,71982.27
"East Hampton",NY,1598,52643.56
Lawrence,KS,1597,56895.73
"Garden Grove",CA,1596,60423.89
Melbourne,FL,1594,78365.22
"North Little Rock",AR,1585,111615.02
Belfair,WA,1578,21973.22
Prairieville,LA,1573,73969.91
Suwanee,GA,1571,63770.38
Vienna,VA,1571,81769.05
Salisbury,NC,1569,50315.95
Germantown,MD,1567,67405.63
"Mount Kisco",NY,1562,128390.32
Milpitas,CA,1561,48936.58
Seaford,DE,1561,37040.42
Parsippany,NJ,1560,87686.52
"La Grange",IL,1556,93561.80
"Moreno Valley",CA,1554,50348.23
Carmel,CA,1552,56600.53
Wooster,OH,1551,41533.33
Flushing,NY,1544,47357.30
"Rio Rico",AZ,1538,49556.32
Torrance,CA,1536,64589.56
Corona,NY,1533,33381.40
Gilbert,AZ,1522,78579.25
Huntington,WV,1522,46255.45
"San Benito",TX,1513,38134.91
"Harbor City",CA,1511,25616.78
Mesquite,TX,1511,51964.20
Baltimore,MD,1510,94375.15
Matthews,NC,1496,80715.20
Tyler,TX,1493,72712.78
Leander,TX,1491,89324.51
Eastman,GA,1483,31403.08
Odessa,FL,1480,58019.42
Brunswick,OH,1477,33652.56
"Grand Junction",CO,1467,52869.97
Schenectady,NY,1465,101474.64
"Niagara Falls",NY,1460,64151.08
Edinburgh,IN,1460,25308.82
"Great Falls",MT,1457,48375.34
Naples,FL,1456,61499.95
Plattsburgh,NY,1454,40403.74
Puyallup,WA,1453,75436.58
Eastpointe,MI,1451,32967.11
Crane,MO,1445,2721.71
Honolulu,HI,1442,54449.51
Longview,TX,1434,37332.31
Manchester,NH,1433,69030.81
Harvey,LA,1432,34279.73
Katy,TX,1432,62177.59
Davenport,IA,1429,88744.27
Knoxville,TN,1427,111157.83
"Traverse City",MI,1423,49340.14
Sanford,FL,1422,44329.43
"Valley Stream",NY,1420,84681.54
Irvington,NY,1417,67223.54
Reisterstown,MD,1412,72982.04
Parkville,MD,1411,40112.18
Marysville,OH,1407,88305.57
Greensboro,NC,1406,40587.66
Lakewood,NJ,1401,28096.46
Alsip,IL,1398,39200.18
"Beacon Falls",CT,1398,81401.51
Somerset,NJ,1396,73527.07
Gresham,OR,1393,36442.81
Perris,CA,1392,49671.47
"Atlantic City",NJ,1389,268983.64
Latrobe,PA,1386,35962.79
Kaneohe,HI,1379,52360.52
Manahawkin,NJ,1374,28216.54
"West Linn",OR,1371,48564.09
"Saint Paul",MN,1369,69148.71
Monroe,NC,1364,57744.53
Newark,DE,1352,33049.01
Pawling,NY,1352,118508.37
Jamaica,NY,1346,37860.03
"Long Beach",CA,1343,49969.62
Lawrenceville,GA,1339,50670.02
Waynesboro,VA,1338,82541.73
Middletown,NY,1329,56635.81
Lorton,VA,1328,67591.25
"Garden City",NY,1328,16967.18
Anchorage,AK,1324,102466.30
Pascoag,RI,1321,86311.95
Wilton,CT,1321,79606.63
Griffin,GA,1320,28054.29
Lombard,IL,1316,53685.92
Summerville,SC,1315,55060.51
Everett,PA,1315,28540.54
"Overland Park",KS,1314,97330.58
"Blue Springs",MO,1311,42808.23
"Fort Myers",FL,1311,41149.64
Williamstown,NJ,1306,69848.83
Independence,MO,1302,39364.71
Cosby,TN,1300,24848.19
Cocoa,FL,1298,74871.67
Seminole,FL,1297,48406.75
Barberton,OH,1296,28140.90
Gloucester,VA,1296,44208.64
Brandon,MS,1291,51574.73
Gainesville,GA,1289,44695.49
Woodinville,WA,1289,50197.57
Rincon,GA,1288,30546.43
"Thompsons Station",TN,1286,70478.74
Tonawanda,NY,1286,28279.35
Manteca,CA,1286,25907.42
Bartlesville,OK,1285,35121.93
Turlock,CA,1282,23319.00
Noblesville,IN,1279,27936.80
Brighton,CO,1277,93507.20
Sunnyvale,CA,1269,57243.07
Katonah,NY,1269,34627.38
Wethersfield,CT,1268,53874.47
Placentia,CA,1267,47893.33
Marion,IA,1267,63785.15
Minden,LA,1267,30265.14
Ontario,CA,1267,45926.66
"Old Saybrook",CT,1265,68109.01
Morristown,NJ,1258,129978.87
Pasadena,MD,1257,45834.60
Raceland,LA,1253,41589.16
Camas,WA,1249,66813.62
Levittown,NY,1249,111456.58
Hobart,IN,1247,45964.74
Pottsboro,TX,1247,54719.16
Reidsville,NC,1245,32238.34
Hamilton,IN,1244,20780.49
"Joshua Tree",CA,1244,75014.38
"Port Orchard",WA,1243,60439.01
"La Porte",TX,1234,67260.56
Allentown,PA,1230,31734.15
Pacoima,CA,1229,29785.49
Arcadia,CA,1221,144639.76
Waterford,MI,1219,39434.31
"Grand Prairie",TX,1217,61140.31
Fayetteville,AR,1215,37963.22
Lebanon,OR,1215,41754.92
"New Kensington",PA,1212,39936.05
Bastrop,TX,1212,46318.47
"Des Moines",IA,1209,34962.44
"La Verne",CA,1209,95223.60
Muncie,IN,1207,32638.13
Vista,CA,1207,75089.16
"Iowa City",IA,1206,35180.29
"Apple River",IL,1205,89302.98
Georgetown,TX,1195,21239.74
Somerville,MA,1194,68241.76
Rosebush,MI,1193,27811.98
Auburn,ME,1193,54208.91
Fremont,CA,1191,61998.48
"State College",PA,1189,50669.77
"Broad Run",VA,1188,44332.03
Hattiesburg,MS,1188,27248.28
Roanoke,TX,1185,59997.79
"Silver City",NM,1184,36300.21
"Palm Beach Gardens",FL,1184,54432.59
Muskegon,MI,1183,42772.24
Scarborough,ME,1181,50191.93
"San Fernando",CA,1180,61297.38
Lorain,OH,1176,20045.95
Frankfort,IN,1176,35300.48
"Newport News",VA,1175,74935.10
Willowbrook,IL,1174,61470.13
"Fort Polk",LA,1173,22638.66
Copiague,NY,1172,73197.73
Huntington,NY,1172,40599.03
Arlington,TX,1170,49014.11
Bluffton,SC,1166,28626.50
Clayton,NC,1164,50194.25
Kent,WA,1164,65026.53
Henderson,NV,1162,46028.40
Oceanside,NY,1161,62201.05
Lansing,NC,1160,29928.67
"Baldwin Park",CA,1160,55723.03
Stratford,CT,1160,60420.86
Raleigh,NC,1158,51959.20
Romulus,MI,1157,34809.80
Sedona,AZ,1152,17423.30
Menasha,WI,1151,53930.11
Clever,MO,1147,34457.29
Dinuba,CA,1144,31624.62
Lincoln,IL,1144,74669.85
"Palos Verdes Peninsula",CA,1143,93871.68
Sodus,NY,1143,64938.65
Celina,OH,1141,22755.35
Aurora,IL,1140,33597.46
Cookeville,TN,1140,40179.64
Chantilly,VA,1138,78540.07
Como,MS,1138,19324.58
"Glen Ellyn",IL,1138,51632.62
"Winston Salem",NC,1135,16300.17
Louisville,CO,1134,137872.48
"Camp Hill",PA,1132,76611.41
Cicero,IL,1130,40630.78
Grenada,MS,1130,24250.97
Camillus,NY,1129,57944.50
Kenner,LA,1129,36448.20
Keller,TX,1127,11682.32
Denver,CO,1126,56722.32
Bethesda,MD,1124,73191.45
Huntington,IN,1123,17594.43
Humble,TX,1117,84014.71
Wynnewood,PA,1117,84820.82
Cordele,GA,1116,25726.88
Harrisburg,PA,1115,85246.79
"North Brunswick",NJ,1114,49618.46
Hopkins,MN,1113,46923.03
Gonzales,LA,1113,37385.74
Casper,WY,1112,47464.28
Chiefland,FL,1111,22724.77
Hutto,TX,1111,21968.07
"Laguna Beach",CA,1109,43004.64
Arnold,MD,1108,45181.53
Irving,TX,1107,67951.87
Meridian,ID,1106,89765.10
Chesapeake,VA,1106,65590.18
"Lake View",NY,1105,52802.52
"Texas City",TX,1105,115064.39
Lebanon,PA,1102,55342.31
Levittown,PA,1102,39699.48
Burlington,IA,1093,24110.18
Abilene,TX,1089,48567.61
Snohomish,WA,1086,35931.69
Waipahu,HI,1086,46044.99
"West Palm Beach",FL,1086,46061.27
"Battle Creek",MI,1085,63483.11
"Port Chester",NY,1084,72261.67
"Rocky Point",NY,1082,66546.97
Valdosta,GA,1082,21062.17
"Mount Holly",NC,1082,21786.84
"Coos Bay",OR,1081,34916.06
Alamo,TX,1077,12221.41
Chesterfield,VA,1075,59168.70
Newburgh,IN,1074,36418.62
Laurel,MT,1073,36310.80
Dawsonville,GA,1073,35736.76
Amarillo,TX,1070,23327.35
Hawthorne,CA,1069,40594.61
Telford,PA,1068,69797.90
Plymouth,MI,1066,33374.43
Westminster,CA,1065,29469.30
Mukwonago,WI,1065,37689.84
Inman,SC,1064,29903.31
Riverside,IA,1063,21297.60
"Hartford City",IN,1062,10829.16
"Sutter Creek",CA,1061,29836.49
"Summit Argo",IL,1058,34439.56
"Saint Johns",MI,1053,18363.65
"Daly City",CA,1053,39107.05
"Mesilla Park",NM,1052,27650.75
Pinetop,AZ,1052,59564.80
Auburn,CA,1046,22052.98
Lincoln,CA,1046,34396.76
"Baton Rouge",LA,1045,40400.34
Statesville,NC,1043,7467.13
"Saint Johnsbury",VT,1042,30381.19
Barnegat,NJ,1042,36914.15
"El Cajon",CA,1041,34915.61
Fullerton,CA,1032,35761.77
Middletown,OH,1032,48676.16
Beaverdam,VA,1022,56511.90
Blytheville,AR,1022,27648.95
Columbia,MD,1014,37106.86
Utica,NY,1008,33785.70
Rochelle,IL,1005,28121.56
Butler,OH,1005,28694.48
Coventry,RI,1003,38605.76
Quincy,FL,999,33550.02
Mitchell,IN,998,30764.80
"Commerce City",CO,997,27534.45
"West Columbia",SC,995,31859.82
Decatur,AL,993,35771.08
"De Soto",KS,990,47639.48
Louisville,IL,988,3059.66
Findlay,OH,982,26330.11
"Washington Court House",OH,979,25249.82
Murphys,CA,978,27736.96
Danville,NH,974,54552.71
Auburn,AL,968,27303.93
Hastings,NY,964,12108.57
Mars,PA,964,76918.06
Clarksville,IN,963,41911.27
"Fort Mill",SC,962,41198.48
"Carson City",NV,961,44058.41
Garner,NC,961,34964.37
Lawton,OK,960,20600.27
Eastlake,OH,958,22312.79
Foxboro,MA,957,39956.26
Brewster,MA,956,43179.23
"Ellicott City",MD,956,56932.02
"Woodland Hills",CA,956,66242.55
Modesto,CA,956,22658.86
Pawtucket,RI,955,32500.52
"Van Alstyne",TX,954,26568.45
Chino,CA,948,46593.10
Lucasville,OH,947,35834.87
Trenton,GA,946,42513.20
"East Peoria",IL,945,26750.36
Morristown,TN,943,19605.29
Pana,IL,943,41944.57
Ridgefield,WA,943,40794.88
"Spring Grove",IL,943,113681.14
"Red Bluff",CA,942,5249.94
"Saint Albans",NY,942,18587.48
Woodway,TX,940,51852.12
Tooele,UT,939,28331.22
"Mount Pleasant",NC,939,32691.05
Lancaster,NY,938,43263.55
Cooper,TX,937,16108.39
Clinton,OH,936,70994.72
Lakeland,FL,936,92229.87
Sumter,SC,936,11855.97
Bristol,TN,934,28188.35
"Lake Hopatcong",NJ,934,41916.52
"New Market",TN,934,4699.94
"Lady Lake",FL,931,10327.57
Quincy,MA,931,59409.51
"Rio Rancho",NM,931,83510.19
Zebulon,NC,929,35238.71
Lincolnton,GA,929,17980.59
Janesville,WI,928,36051.04
Independence,KY,925,26218.38
Jefferson,NC,924,46139.32
Vanceboro,NC,921,29727.27
"Union City",CA,920,46920.27
"Morris Plains",NJ,916,43090.86
Norman,OK,915,31043.54
"North Highlands",CA,915,19102.77
Elyria,OH,915,39148.49
"Puerto Vallarta",Mexico,913,27211.33
Bridgeton,NJ,912,10538.57
Charlotte,TN,911,41161.90
Selma,AL,911,30295.02
"West Bloomfield",MI,911,48869.21
"Valley Center",CA,908,44572.54
Hailey,ID,908,19874.57
Danielsville,GA,906,34852.22
"New Bremen",OH,905,65853.23
Suffolk,VA,905,35499.55
Kirkville,NY,903,10301.67
Lavallette,NJ,902,36045.05
"Eight Mile",AL,902,29966.17
Gooding,ID,899,44832.11
"Twin Falls",ID,897,31639.21
Texarkana,TX,895,28082.95
"High Point",NC,895,37127.66
"Carmel Valley",CA,895,39957.20
Princeton,NJ,894,11530.41
Kimberly,WI,894,25486.76
Manassas,VA,893,39606.23
"Rural Valley",PA,892,360.80
"Wichita Falls",TX,889,45340.55
Rush,NY,888,56637.83
Lewisville,TX,888,36294.16
Middleton,WI,886,17364.55
"New Bloomfield",MO,885,33204.26
"New Orleans",LA,879,34997.41
"New Brunswick",NJ,878,23717.13
Barbourville,KY,878,59612.76
"San Angelo",TX,878,71131.59
"Mexico City",Mexico,872,32085.92
Mamaroneck,NY,870,61547.22
Florence,SC,868,27005.30
Milton,PA,865,25576.39
Merrill,WI,863,19873.96
Pittsburg,CA,863,80554.61
Raymore,MO,863,35802.97
Vernon,AL,863,3670.38
Westminster,SC,863,30929.47
"Fountain City",IN,863,9150.41
Bloomington,IN,861,19439.76
Belgrade,ME,860,40837.50
Woodbridge,VA,858,49407.73
Shelbyville,IN,857,22292.50
"Jersey City",NJ,857,26604.16
Mckeesport,PA,857,18642.45
Claypool,IN,855,16885.80
Skiatook,OK,854,20054.07
Amherst,OH,853,7968.58
"Monterey Park",CA,851,31860.18
Hubbard,OH,848,40740.33
Kokomo,IN,848,24655.19
Kerhonkson,NY,847,1229.69
Massillon,OH,847,28327.70
Burley,ID,847,24419.88
Nixa,MO,846,26471.55
Dover,OH,845,18821.28
Billings,MT,843,12786.37
Greensburg,PA,843,29675.80
Union,NJ,843,49532.37
Manasquan,NJ,839,10028.07
Chesterfield,MO,838,21852.37
"Fort Gibson",OK,838,24662.52
Hampstead,MD,837,51511.24
"Boca Raton",FL,834,36023.98
Urbandale,IA,833,45434.12
Lenoir,NC,832,42171.30
Alcoa,TN,830,46296.04
Eastford,CT,829,51702.20
Republic,OH,828,34481.92
"Saint Albans",WV,828,19544.68
"Mount Vernon",OH,826,22846.14
Hartsdale,NY,824,35967.13
"Newton Grove",NC,824,68019.48
Gonzales,TX,824,26925.50
"Balch Springs",TX,823,11781.65
Spencerport,NY,823,50198.46
Woodmere,NY,823,36764.70
Pinehurst,NC,822,44145.98
Ridgewood,NY,820,29003.74
Trion,GA,818,8816.74
Douglassville,PA,818,29264.13
Stanford,KY,815,18867.70
Poca,WV,810,17388.64
Bumpass,VA,808,64865.02
Augusta,GA,806,33317.48
Orrville,OH,805,9204.74
Loganville,GA,803,28933.46
Lucedale,MS,803,66988.31
Delavan,WI,803,22092.73
Angier,NC,796,22586.54
Batavia,IL,795,38047.86
"New Castle",IN,795,36752.76
Muskogee,OK,790,29903.19
"White Plains",NY,790,36984.28
Midland,TX,789,31042.78
"North Las Vegas",NV,787,45480.47
"Howard Beach",NY,786,32254.44
Coshocton,OH,786,30677.23
Kailua,HI,785,45703.87
Miltona,MN,783,43243.18
"Iron Mountain",MI,780,26115.51
"West Harrison",NY,778,51577.25
Glendale,AZ,777,37417.17
Odenville,AL,776,8723.51
"Whites Creek",TN,773,16590.63
Binghamton,NY,769,84498.57
Dayton,KY,769,20539.35
"Cabo San Lucas",Mexico,766,23293.62
Trenton,NJ,764,35492.44
"Upper Sandusky",OH,764,45235.28
Pleasantville,NJ,763,19883.58
"Le Mars",IA,763,24629.35
"Florham Park",NJ,763,37951.16
Franklin,TX,761,25778.72
Lincoln,NE,759,42378.90
Navarre,FL,759,30475.55
Bennett,CO,758,26153.40
Murrieta,CA,757,44199.46
Ludington,MI,755,21635.13
Woonsocket,SD,750,44623.34
Pomona,CA,746,33031.45
"North Richland Hills",TX,745,44063.99
Crestview,FL,745,20694.07
Summerville,GA,743,21188.78
"League City",TX,743,28737.50
Jessup,MD,740,40882.94
Independence,OH,738,27927.98
Hudson,IL,733,52855.74
Crestline,OH,733,18874.70
Decatur,IL,731,26786.60
Fenton,MI,731,41552.07
Pinole,CA,729,44148.77
"West Sacramento",CA,727,27894.81
Ferdinand,IN,727,32809.99
Grantville,GA,726,61728.90
Laurel,MD,726,31503.66
Prichard,WV,726,22002.47
Savannah,GA,724,25103.24
Freeport,PA,722,28777.31
Holland,MI,722,37280.07
Parma,MO,722,23900.46
Solon,IA,720,24469.20
Corona,CA,719,37425.05
"Gwynn Oak",MD,718,18980.58
Patterson,LA,718,25056.93
Harrison,MI,717,13507.14
Billings,OK,717,69280.00
"West Plains",MO,713,11591.79
Wheeling,IL,712,27189.50
"Palisades Park",NJ,712,23685.61
"High Springs",FL,709,21693.61
Springfield,OH,708,18719.09
Bellaire,TX,707,39002.34
"Columbia City",IN,707,32675.37
Franconia,NH,706,27314.01
Andrews,SC,705,21940.86
Mokena,IL,704,41008.49
"North Lawrence",OH,703,14840.88
Farmington,MI,703,46082.50
"South Ozone Park",NY,702,142030.78
Novato,CA,701,37135.42
Mansfield,MA,698,34637.73
Scituate,MA,698,70488.69
"Black Diamond",WA,697,40140.37
Muldrow,OK,696,48864.35
Richmond,VT,694,24313.62
"Rocky River",OH,694,24685.93
Medford,NY,693,41021.59
Lynwood,CA,692,17389.65
Conover,NC,692,23843.60
"David City",NE,691,27779.91
Clinton,MI,689,18401.84
Littleton,CO,688,18071.08
Clifton,NJ,686,11650.08
Channelview,TX,684,80726.97
Hyattsville,MD,683,33335.66
Warren,OH,682,30061.20
Reno,NV,680,30378.51
Blackwood,NJ,678,45479.36
"Township Of Washington",NJ,677,31050.21
Monroe,CT,677,38555.58
Mulberry,FL,674,26770.42
"Arlington Heights",IL,674,67271.16
Banning,CA,674,11518.62
"Canal Fulton",OH,674,35572.70
Woodbine,NJ,674,22988.35
"Saint George",UT,673,18213.56
Ames,IA,673,32830.76
Thackerville,OK,672,109106.92
Portage,WI,670,26713.18
Louisville,TN,670,33399.59
"Marion Center",PA,670,19803.50
Marshfield,MA,670,32956.83
Westfield,NC,669,19779.58
Chandler,TX,668,29844.22
Mckinney,TX,667,55815.18
Shelbyville,KY,666,27726.61
"Poplar Bluff",MO,664,11132.88
Candor,NY,659,33301.60
Gretna,LA,659,38004.76
Waimanalo,HI,656,43671.17
"Pleasant Grove",UT,653,27050.56
