merchant_city,merchant_state,jumlah_transaksi,total_volume,avg_transaksi
Oswego,NY,2064,70265.28,34.043256
Kingman,AZ,2061,51848.11,25.156773
"Sherman Oaks",CA,2056,127353.59,61.942408
Thomson,GA,2054,63310.40,30.822980
Allen,TX,2038,76358.35,37.467296
Mentor,OH,2038,54987.08,26.980903
"Warner Robins",GA,2028,69759.55,34.398200
"Lake Charles",LA,2024,126145.87,62.325035
Vincentown,NJ,2022,83176.39,41.135702
Alburtis,PA,2019,54244.13,26.866830
"Cape Coral",FL,2009,69867.80,34.777402
Longwood,FL,1993,53151.87,26.669277
"Huntington Station",NY,1976,113299.51,57.337809
Martinsburg,WV,1972,65040.75,32.982125
Canton,MA,1972,101379.37,51.409417
Anaheim,CA,1971,60277.86,30.582374
Sandusky,OH,1968,22879.23,11.625625
"San Leandro",CA,1949,94724.37,48.601524
Winder,GA,1946,68305.57,35.100498
Elizabeth,NJ,1922,62297.60,32.412903
Rockwall,TX,1918,127202.81,66.320547
Mendham,NJ,1915,100173.71,52.310031
Lebanon,MO,1910,15610.44,8.173005
Bloomington,CA,1881,28404.61,15.100803
"Rego Park",NY,1880,81479.15,43.339973
Yonkers,NY,1877,90465.66,48.196942
Seguin,TX,1867,57817.21,30.967975
Fairfield,OH,1865,50144.82,26.887303
Skokie,IL,1863,39996.20,21.468706
"Rockville Centre",NY,1861,95365.16,51.244041
Schaumburg,IL,1861,91273.81,49.045572
Oshkosh,WI,1861,63996.40,34.388178
Weatherford,TX,1852,38401.26,20.735022
Whittier,CA,1851,99702.62,53.864192
"San Mateo",CA,1848,153011.48,82.798420
"Los Altos",CA,1847,92230.92,49.935528
Seabrook,TX,1842,81540.78,44.267524
"Port Orange",FL,1836,41945.46,22.846111
"The Colony",TX,1834,60928.74,33.221778
Cordova,TN,1827,86071.98,47.111100
Derby,KS,1827,43779.97,23.962764
Worcester,MA,1826,81804.77,44.799984
Arnold,MO,1825,41110.34,22.526214
Ogden,UT,1824,93481.79,51.250981
Millington,TN,1822,62148.01,34.109775
Newtown,PA,1819,177600.53,97.636355
"Sterling Heights",MI,1804,71307.46,39.527417
Barron,WI,1804,94251.43,52.245804
Dalton,GA,1803,43105.04,23.907399
Lancaster,PA,1802,58270.03,32.336310
Waldorf,MD,1802,58530.46,32.480832
Shelton,CT,1785,73197.04,41.006745
"Kansas City",MO,1784,50825.99,28.489905
Dyer,IN,1779,26865.06,15.101214
Osprey,FL,1779,122244.54,68.715312
Mechanicsburg,PA,1776,109169.05,61.469060
Newburgh,NY,1765,106039.43,60.078997
Ashland,KY,1765,38896.39,22.037615
Cancun,Mexico,1764,59291.68,33.612063
Arlington,VA,1763,130698.99,74.134424
Chambersburg,PA,1760,55542.12,31.558023
Newark,NJ,1760,61445.85,34.912415
Hendersonville,TN,1758,93478.85,53.173407
Lafayette,CO,1756,185556.66,105.670080
"Monroe Township",NJ,1746,132778.25,76.047108
"Cedar Park",TX,1746,62679.53,35.898929
"Saint Charles",IL,1746,81347.29,46.590659
Warsaw,IN,1734,135891.20,78.368627
Asheville,NC,1721,23395.93,13.594381
Bethlehem,PA,1716,66373.08,38.678951
Windsor,CO,1713,113623.61,66.330187
"Vero Beach",FL,1711,50048.94,29.251280
Lakeville,MN,1711,61036.41,35.672946
Campbell,TX,1710,29444.30,17.218889
Appleton,WI,1709,87666.56,51.296992
"Van Buren",AR,1700,43660.65,25.682735
"Whitehouse Station",NJ,1694,56639.13,33.435142
Olathe,KS,1686,87825.90,52.091281
Hurst,TX,1684,55135.14,32.740582
Rialto,CA,1681,55053.92,32.750696
Erie,PA,1673,134587.80,80.446981
Portland,OR,1671,113508.66,67.928582
Gregory,TX,1668,107714.96,64.577314
Madison,WI,1665,52877.78,31.758426
"Fort Walton Beach",FL,1660,59737.90,35.986687
Compton,CA,1653,39548.95,23.925560
Andover,KS,1651,32307.09,19.568195
Kirkland,WA,1651,75046.95,45.455451
"Upper Marlboro",MD,1649,82021.42,49.740097
"West Covina",CA,1648,37633.11,22.835625
Canton,NC,1648,41964.02,25.463604
"Lake Forest",CA,1647,51931.02,31.530674
Pearland,TX,1647,58466.01,35.498488
"Daytona Beach",FL,1646,57651.11,35.024976
Danville,IL,1644,47763.18,29.053029
"East Hartford",CT,1644,32307.91,19.652013
Poughkeepsie,NY,1640,67100.79,40.915116
Oviedo,FL,1633,90436.39,55.380521
Parrish,AL,1619,41099.68,25.385843
"Union City",NJ,1614,68182.39,42.244356
"O Fallon",MO,1606,72812.72,45.337933
Rockingham,NC,1605,54572.53,34.001576
Lewistown,PA,1602,36166.78,22.576017
Providence,RI,1598,63775.67,39.909681
"East Hampton",NY,1598,52643.56,32.943404
"Terre Haute",IN,1598,71982.27,45.045225
Lawrence,KS,1597,56895.73,35.626631
"Garden Grove",CA,1596,60423.89,37.859580
Melbourne,FL,1594,78365.22,49.162622
"North Little Rock",AR,1585,111615.02,70.419571
Belfair,WA,1578,21973.22,13.924728
Prairieville,LA,1573,73969.91,47.024736
Suwanee,GA,1571,63770.38,40.592222
Vienna,VA,1571,81769.05,52.049045
Salisbury,NC,1569,50315.95,32.068802
Germantown,MD,1567,67405.63,43.015718
"Mount Kisco",NY,1562,128390.32,82.196108
Milpitas,CA,1561,48936.58,31.349507
Seaford,DE,1561,37040.42,23.728648
Parsippany,NJ,1560,87686.52,56.209308
"La Grange",IL,1556,93561.80,60.129692
"Moreno Valley",CA,1554,50348.23,32.399118
Carmel,CA,1552,56600.53,36.469414
Wooster,OH,1551,41533.33,26.778420
Flushing,NY,1544,47357.30,30.671826
"Rio Rico",AZ,1538,49556.32,32.221274
Torrance,CA,1536,64589.56,42.050495
Corona,NY,1533,33381.40,21.775212
Gilbert,AZ,1522,78579.25,51.628942
Huntington,WV,1522,46255.45,30.391229
"San Benito",TX,1513,38134.91,25.204831
"Harbor City",CA,1511,25616.78,16.953527
Mesquite,TX,1511,51964.20,34.390602
Baltimore,MD,1510,94375.15,62.500099
Matthews,NC,1496,80715.20,53.954011
Tyler,TX,1493,72712.78,48.702465
Leander,TX,1491,89324.51,59.909128
Eastman,GA,1483,31403.08,21.175374
Odessa,FL,1480,58019.42,39.202311
Brunswick,OH,1477,33652.56,22.784401
"Grand Junction",CO,1467,52869.97,36.039516
Schenectady,NY,1465,101474.64,69.265966
"Niagara Falls",NY,1460,64151.08,43.939096
Edinburgh,IN,1460,25308.82,17.334808
"Great Falls",MT,1457,48375.34,33.202018
Naples,FL,1456,61499.95,42.238977
Plattsburgh,NY,1454,40403.74,27.787992
Puyallup,WA,1453,75436.58,51.917811
Eastpointe,MI,1451,32967.11,22.720269
Crane,MO,1445,2721.71,1.883536
Honolulu,HI,1442,54449.51,37.759716
Longview,TX,1434,37332.31,26.033689
Manchester,NH,1433,69030.81,48.172233
Harvey,LA,1432,34279.73,23.938359
Katy,TX,1432,62177.59,43.420105
Davenport,IA,1429,88744.27,62.102358
Knoxville,TN,1427,111157.83,77.896167
"Traverse City",MI,1423,49340.14,34.673324
Sanford,FL,1422,44329.43,31.174001
"Valley Stream",NY,1420,84681.54,59.634887
Irvington,NY,1417,67223.54,47.440748
Reisterstown,MD,1412,72982.04,51.686997
Parkville,MD,1411,40112.18,28.428193
Marysville,OH,1407,88305.57,62.761599
Greensboro,NC,1406,40587.66,28.867468
Lakewood,NJ,1401,28096.46,20.054575
Alsip,IL,1398,39200.18,28.040186
"Beacon Falls",CT,1398,81401.51,58.227117
Somerset,NJ,1396,73527.07,52.669821
Gresham,OR,1393,36442.81,26.161385
Perris,CA,1392,49671.47,35.683527
"Atlantic City",NJ,1389,268983.64,193.652729
Latrobe,PA,1386,35962.79,25.947179
Kaneohe,HI,1379,52360.52,37.969920
Manahawkin,NJ,1374,28216.54,20.536055
"West Linn",OR,1371,48564.09,35.422385
"Saint Paul",MN,1369,69148.71,50.510380
Monroe,NC,1364,57744.53,42.334699
Newark,DE,1352,33049.01,24.444534
Pawling,NY,1352,118508.37,87.654120
Jamaica,NY,1346,37860.03,28.127808
"Long Beach",CA,1343,49969.62,37.207461
Lawrenceville,GA,1339,50670.02,37.841688
Waynesboro,VA,1338,82541.73,61.690381
Middletown,NY,1329,56635.81,42.615357
Lorton,VA,1328,67591.25,50.897026
"Garden City",NY,1328,16967.18,12.776491
Anchorage,AK,1324,102466.30,77.391465
Pascoag,RI,1321,86311.95,65.338342
Wilton,CT,1321,79606.63,60.262400
Griffin,GA,1320,28054.29,21.253250
Lombard,IL,1316,53685.92,40.794772
Everett,PA,1315,28540.54,21.703833
Summerville,SC,1315,55060.51,41.871110
"Overland Park",KS,1314,97330.58,74.071979
"Blue Springs",MO,1311,42808.23,32.653112
"Fort Myers",FL,1311,41149.64,31.387979
Williamstown,NJ,1306,69848.83,53.483025
Independence,MO,1302,39364.71,30.234032
Cosby,TN,1300,24848.19,19.113992
Cocoa,FL,1298,74871.67,57.682334
Seminole,FL,1297,48406.75,37.322089
Barberton,OH,1296,28140.90,21.713657
Gloucester,VA,1296,44208.64,34.111605
Brandon,MS,1291,51574.73,39.949442
Woodinville,WA,1289,50197.57,38.943033
Gainesville,GA,1289,44695.49,34.674546
Rincon,GA,1288,30546.43,23.716172
"Thompsons Station",TN,1286,70478.74,54.804619
Tonawanda,NY,1286,28279.35,21.990163
Manteca,CA,1286,25907.42,20.145739
Bartlesville,OK,1285,35121.93,27.332241
Turlock,CA,1282,23319.00,18.189548
Noblesville,IN,1279,27936.80,21.842690
Brighton,CO,1277,93507.20,73.224119
Sunnyvale,CA,1269,57243.07,45.108802
Katonah,NY,1269,34627.38,27.287139
Wethersfield,CT,1268,53874.47,42.487752
Marion,IA,1267,63785.15,50.343449
Minden,LA,1267,30265.14,23.887245
Ontario,CA,1267,45926.66,36.248350
Placentia,CA,1267,47893.33,37.800576
"Old Saybrook",CT,1265,68109.01,53.841115
Morristown,NJ,1258,129978.87,103.321836
Pasadena,MD,1257,45834.60,36.463484
Raceland,LA,1253,41589.16,33.191668
Camas,WA,1249,66813.62,53.493691
Levittown,NY,1249,111456.58,89.236653
Hobart,IN,1247,45964.74,36.860257
Pottsboro,TX,1247,54719.16,43.880642
Reidsville,NC,1245,32238.34,25.894249
Hamilton,IN,1244,20780.49,16.704574
"Joshua Tree",CA,1244,75014.38,60.300949
"Port Orchard",WA,1243,60439.01,48.623500
"La Porte",TX,1234,67260.56,54.506126
Allentown,PA,1230,31734.15,25.800122
Pacoima,CA,1229,29785.49,24.235549
Arcadia,CA,1221,144639.76,118.460082
Waterford,MI,1219,39434.31,32.349721
"Grand Prairie",TX,1217,61140.31,50.238546
Fayetteville,AR,1215,37963.22,31.245449
Lebanon,OR,1215,41754.92,34.366189
Bastrop,TX,1212,46318.47,38.216559
"New Kensington",PA,1212,39936.05,32.950536
"Des Moines",IA,1209,34962.44,28.918478
"La Verne",CA,1209,95223.60,78.762283
Muncie,IN,1207,32638.13,27.040704
Vista,CA,1207,75089.16,62.211400
"Iowa City",IA,1206,35180.29,29.171053
"Apple River",IL,1205,89302.98,74.110357
Georgetown,TX,1195,21239.74,17.773841
Somerville,MA,1194,68241.76,57.153903
Rosebush,MI,1193,27811.98,23.312640
Auburn,ME,1193,54208.91,45.439153
Fremont,CA,1191,61998.48,52.055819
"State College",PA,1189,50669.77,42.615450
Hattiesburg,MS,1188,27248.28,22.936263
"Broad Run",VA,1188,44332.03,37.316524
Roanoke,TX,1185,59997.79,50.631046
"Silver City",NM,1184,36300.21,30.658961
"Palm Beach Gardens",FL,1184,54432.59,45.973471
Muskegon,MI,1183,42772.24,36.155740
Scarborough,ME,1181,50191.93,42.499517
"San Fernando",CA,1180,61297.38,51.946932
Frankfort,IN,1176,35300.48,30.017415
Lorain,OH,1176,20045.95,17.045876
"Newport News",VA,1175,74935.10,63.774553
Willowbrook,IL,1174,61470.13,52.359566
"Fort Polk",LA,1173,22638.66,19.299795
Huntington,NY,1172,40599.03,34.640811
Copiague,NY,1172,73197.73,62.455401
Arlington,TX,1170,49014.11,41.892402
Bluffton,SC,1166,28626.50,24.551029
Clayton,NC,1164,50194.25,43.122208
Kent,WA,1164,65026.53,55.864716
Henderson,NV,1162,46028.40,39.611360
Oceanside,NY,1161,62201.05,53.575409
Lansing,NC,1160,29928.67,25.800578
"Baldwin Park",CA,1160,55723.03,48.037095
Stratford,CT,1160,60420.86,52.086948
Raleigh,NC,1158,51959.20,44.869775
Romulus,MI,1157,34809.80,30.086258
Sedona,AZ,1152,17423.30,15.124392
Menasha,WI,1151,53930.11,46.855004
Clever,MO,1147,34457.29,30.041229
Dinuba,CA,1144,31624.62,27.643899
Lincoln,IL,1144,74669.85,65.270848
Sodus,NY,1143,64938.65,56.814217
"Palos Verdes Peninsula",CA,1143,93871.68,82.127454
Celina,OH,1141,22755.35,19.943339
Aurora,IL,1140,33597.46,29.471456
Cookeville,TN,1140,40179.64,35.245298
Chantilly,VA,1138,78540.07,69.015879
Como,MS,1138,19324.58,16.981178
"Glen Ellyn",IL,1138,51632.62,45.371371
"Winston Salem",NC,1135,16300.17,14.361383
Louisville,CO,1134,137872.48,121.580670
"Camp Hill",PA,1132,76611.41,67.677924
Cicero,IL,1130,40630.78,35.956442
Grenada,MS,1130,24250.97,21.461035
Kenner,LA,1129,36448.20,32.283614
Camillus,NY,1129,57944.50,51.323738
Keller,TX,1127,11682.32,10.365856
Denver,CO,1126,56722.32,50.375062
Bethesda,MD,1124,73191.45,65.116948
Huntington,IN,1123,17594.43,15.667346
Humble,TX,1117,84014.71,75.214602
Wynnewood,PA,1117,84820.82,75.936276
Cordele,GA,1116,25726.88,23.052760
Harrisburg,PA,1115,85246.79,76.454520
"North Brunswick",NJ,1114,49618.46,44.540808
Gonzales,LA,1113,37385.74,33.590063
Hopkins,MN,1113,46923.03,42.159057
Casper,WY,1112,47464.28,42.683705
Chiefland,FL,1111,22724.77,20.454338
Hutto,TX,1111,21968.07,19.773240
"Laguna Beach",CA,1109,43004.64,38.777854
Arnold,MD,1108,45181.53,40.777554
Irving,TX,1107,67951.87,61.383803
Chesapeake,VA,1106,65590.18,59.303960
Meridian,ID,1106,89765.10,81.161935
"Texas City",TX,1105,115064.39,104.130670
"Lake View",NY,1105,52802.52,47.785086
Lebanon,PA,1102,55342.31,50.219882
Levittown,PA,1102,39699.48,36.024936
Burlington,IA,1093,24110.18,22.058719
Abilene,TX,1089,48567.61,44.598356
Snohomish,WA,1086,35931.69,33.086271
Waipahu,HI,1086,46044.99,42.398702
"West Palm Beach",FL,1086,46061.27,42.413692
"Battle Creek",MI,1085,63483.11,58.509779
"Port Chester",NY,1084,72261.67,66.662057
"Mount Holly",NC,1082,21786.84,20.135712
"Rocky Point",NY,1082,66546.97,61.503669
Valdosta,GA,1082,21062.17,19.465961
"Coos Bay",OR,1081,34916.06,32.299778
Alamo,TX,1077,12221.41,11.347642
Chesterfield,VA,1075,59168.70,55.040651
Newburgh,IN,1074,36418.62,33.909330
Dawsonville,GA,1073,35736.76,33.305461
Laurel,MT,1073,36310.80,33.840447
Amarillo,TX,1070,23327.35,21.801262
Hawthorne,CA,1069,40594.61,37.974378
Telford,PA,1068,69797.90,65.353839
Plymouth,MI,1066,33374.43,31.308096
Mukwonago,WI,1065,37689.84,35.389521
Westminster,CA,1065,29469.30,27.670704
Inman,SC,1064,29903.31,28.104615
Riverside,IA,1063,21297.60,20.035372
"Hartford City",IN,1062,10829.16,10.196949
"Sutter Creek",CA,1061,29836.49,28.121103
"Summit Argo",IL,1058,34439.56,32.551569
"Saint Johns",MI,1053,18363.65,17.439364
"Daly City",CA,1053,39107.05,37.138699
"Mesilla Park",NM,1052,27650.75,26.283983
Pinetop,AZ,1052,59564.80,56.620532
Auburn,CA,1046,22052.98,21.083155
Lincoln,CA,1046,34396.76,32.884092
"Baton Rouge",LA,1045,40400.34,38.660612
Statesville,NC,1043,7467.13,7.159281
"Saint Johnsbury",VT,1042,30381.19,29.156612
Barnegat,NJ,1042,36914.15,35.426248
"El Cajon",CA,1041,34915.61,33.540451
Fullerton,CA,1032,35761.77,34.652878
Middletown,OH,1032,48676.16,47.166822
Beaverdam,VA,1022,56511.90,55.295401
Blytheville,AR,1022,27648.95,27.053767
Columbia,MD,1014,37106.86,36.594536
Utica,NY,1008,33785.70,33.517560
Rochelle,IL,1005,28121.56,27.981652
Butler,OH,1005,28694.48,28.551721
Coventry,RI,1003,38605.76,38.490289
Quincy,FL,999,33550.02,33.583604
Mitchell,IN,998,30764.80,30.826453
"Commerce City",CO,997,27534.45,27.617302
"West Columbia",SC,995,31859.82,32.019920
Decatur,AL,993,35771.08,36.023243
"De Soto",KS,990,47639.48,48.120687
Louisville,IL,988,3059.66,3.096822
Findlay,OH,982,26330.11,26.812739
"Washington Court House",OH,979,25249.82,25.791440
Murphys,CA,978,27736.96,28.360900
Danville,NH,974,54552.71,56.008943
Auburn,AL,968,27303.93,28.206539
Mars,PA,964,76918.06,79.790519
Hastings,NY,964,12108.57,12.560757
Clarksville,IN,963,41911.27,43.521568
"Fort Mill",SC,962,41198.48,42.825863
Garner,NC,961,34964.37,36.383319
"Carson City",NV,961,44058.41,45.846420
Lawton,OK,960,20600.27,21.458615
Eastlake,OH,958,22312.79,23.291013
Foxboro,MA,957,39956.26,41.751578
"Ellicott City",MD,956,56932.02,59.552322
Brewster,MA,956,43179.23,45.166559
Modesto,CA,956,22658.86,23.701736
"Woodland Hills",CA,956,66242.55,69.291370
Pawtucket,RI,955,32500.52,34.031958
"Van Alstyne",TX,954,26568.45,27.849528
Chino,CA,948,46593.10,49.148840
Lucasville,OH,947,35834.87,37.840412
Trenton,GA,946,42513.20,44.939958
"East Peoria",IL,945,26750.36,28.307259
Ridgefield,WA,943,40794.88,43.260742
"Spring Grove",IL,943,113681.14,120.552641
Morristown,TN,943,19605.29,20.790339
Pana,IL,943,41944.57,44.479926
"Red Bluff",CA,942,5249.94,5.573185
"Saint Albans",NY,942,18587.48,19.731932
Woodway,TX,940,51852.12,55.161830
Tooele,UT,939,28331.22,30.171693
"Mount Pleasant",NC,939,32691.05,34.814750
Lancaster,NY,938,43263.55,46.123188
Cooper,TX,937,16108.39,17.191451
Clinton,OH,936,70994.72,75.849060
Lakeland,FL,936,92229.87,98.536186
Sumter,SC,936,11855.97,12.666635
"Lake Hopatcong",NJ,934,41916.52,44.878501
Bristol,TN,934,28188.35,30.180246
"New Market",TN,934,4699.94,5.032056
Quincy,MA,931,59409.51,63.812578
"Rio Rancho",NM,931,83510.19,89.699452
"Lady Lake",FL,931,10327.57,11.092986
Lincolnton,GA,929,17980.59,19.354779
Zebulon,NC,929,35238.71,37.931873
Janesville,WI,928,36051.04,38.848103
Independence,KY,925,26218.38,28.344195
Jefferson,NC,924,46139.32,49.934329
Vanceboro,NC,921,29727.27,32.277166
"Union City",CA,920,46920.27,51.000293
"Morris Plains",NJ,916,43090.86,47.042424
Norman,OK,915,31043.54,33.927366
"North Highlands",CA,915,19102.77,20.877344
Elyria,OH,915,39148.49,42.785235
"Puerto Vallarta",Mexico,913,27211.33,29.804304
Bridgeton,NJ,912,10538.57,11.555450
Charlotte,TN,911,41161.90,45.183205
Selma,AL,911,30295.02,33.254687
"West Bloomfield",MI,911,48869.21,53.643480
"Valley Center",CA,908,44572.54,49.088700
Hailey,ID,908,19874.57,21.888293
